name,max_ghz,base_ghz,cache_mb,
AMD EPYC 7351,"2.90","2.40","64 MB",
AMD EPYC 7451,"3.20","2.30","64 MB",
AMD EPYC 7551,"2.00","3.00","64 MB",
AMD EPYC 7601,"2.20","3.20","64 MB",
Intel Celeron G3930,"2.70","2.70","2 MB",
Intel Core i3-6100,"3.70","3.70","3 MB SmartCache",
Intel Core i3-7300,"4.00","4.00","4 MB SmartCache",
Intel Pentium G4560,"2.90","2.90","3 MB",
Intel Xeon E3-1220 v5,"3.50","3.00","8 MB SmartCache",
Intel Xeon E3-1220 v6,"3.50","3.00","8 MB",
Intel Xeon E3-1225 v6,"3.70","3.30","8 MB",
Intel Xeon E3-1230 v5,"3.80","3.40","8 MB SmartCache",
Intel Xeon E3-1230 v6,"3.90","3.50","8 MB",
Intel Xeon E3-1240 v5,"3.20","2.10","8 MB SmartCache",
Intel Xeon E3-1240 v6,"4.10","3.70","8 MB",
Intel Xeon E3-1240L v5,"3.20","2.10","8 MB SmartCache",
Intel Xeon E3-1245 v6,"4.10","3.70","8 MB",
Intel Xeon E3-1260L v5,"3.90","2.90","8 MB SmartCache",
Intel Xeon E3-1270 v5,"4.00","3.60","8 MB SmartCache",
Intel Xeon E3-1270 v6,"4.20","3.80","8 MB",
Intel Xeon E3-1275 v6,"4.20","3.80","8 MB",
Intel Xeon E3-1280 v5,"4.00","3.70","8 MB SmartCache",
Intel Xeon E3-1280 v6,"4.20","3.90","8 MB",
Intel Xeon E5-2603 v4,"1.70","1.70","15 MB SmartCache",
Intel Xeon E5-2609 v4,"1.70","1.70","20 MB SmartCache",
Intel Xeon E5-2620 v4,"3.00","2.10","20 MB SmartCache",
Intel Xeon E5-2623 v4,"3.20","2.60","10 MB SmartCache",
Intel Xeon E5-2630 v4,"2.90","1.80","25 MB SmartCache",
Intel Xeon E5-2630L v4,"2.90","1.80","25 MB SmartCache",
Intel Xeon E5-2637 v4,"3.70","3.50","15 MB SmartCache",
Intel Xeon E5-2640 v4,"3.40","2.40","25 MB SmartCache",
Intel Xeon E5-2650 v4,"2.50","1.70","35 MB SmartCache",
Intel Xeon E5-2660 v3,"3.30","2.60","25 MB SmartCache",
Intel Xeon E5-2660 v4,"3.20","2.00","35 MB",
Intel Xeon E5-2667 v4,"3.60","3.20","25 MB SmartCache",
Intel Xeon E5-2680 v4,"3.30","2.40","35 MB SmartCache",
Intel Xeon E5-2683 v4,"3.00","2.10","40 MB SmartCache",
Intel Xeon E5-2687W v4,"3.50","3.00","30 MB SmartCache",
Intel Xeon E5-2690 v3,"3.50","2.60","30 MB SmartCache",
Intel Xeon E5-2690 v4,"3.50","2.60","35 MB SmartCache",
Intel Xeon E5-2695 v4,"3.30","2.10","45 MB SmartCache",
Intel Xeon E5-2697 v4,"3.60","2.60","40 MB SmartCache",
Intel Xeon E5-2697A v4,"3.60","2.60","40 MB SmartCache",
Intel Xeon E5-2698 v4,"3.60","2.20","50 MB SmartCache",
Intel Xeon E5-2699 v3,"3.60","2.30","45 MB SmartCache",
Intel Xeon E5-2699 v4,"3.60","2.20","55 MB",
Intel Xeon E5-2699A v4,"3.60","2.40","55 MB",
Intel Xeon E5-2699R v4,"3.60","2.20","55 MB",
Intel Xeon E5-4620 v4,"2.60","2.10","25 MB",
Intel Xeon E5-4627 v4,"3.20","2.60","25 MB",
Intel Xeon E5-4640 v4,"2.60","2.10","30 MB",
Intel Xeon E5-4655 v4,"3.20","2.50","30 MB",
Intel Xeon E5-4660 v4,"3.00","2.20","40 MB",
Intel Xeon E5-4667 v4,"3.00","2.20","45 MB",
Intel Xeon E5-4669 v4,"3.00","2.20","55 MB",
Intel Xeon E7-4809 v3,"2.00","2.00","20 MB Last Level Cache",
Intel Xeon E7-4809 v4,"2.10","2.10","20 MB",
Intel Xeon E7-4820 v3,"1.90","1.90","25 MB Last Level Cache",
Intel Xeon E7-4820 v4,"2.00","2.00","25 MB",
Intel Xeon E7-4830 v3,"2.70","2.10","30 MB Last Level Cache",
Intel Xeon E7-4830 v4,"2.80","2.00","35 MB",
Intel Xeon E7-4850 v3,"2.80","2.20","35 MB Last Level Cache",
Intel Xeon E7-4850 v4,"2.80","2.10","40 MB",
Intel Xeon E7-8855 v4,"2.80","2.10","35 MB",
Intel Xeon E7-8860 v3,"3.20","2.20","40 MB Last Level Cache",
Intel Xeon E7-8860 v4,"3.20","2.20","45 MB",
Intel Xeon E7-8867 v3,"3.30","2.50","45 MB",
Intel Xeon E7-8867 v4,"3.30","2.40","45 MB",
Intel Xeon E7-8870 v4,"3.00","2.10","50 MB",
Intel Xeon E7-8880 v4,"3.30","2.20","55 MB",
Intel Xeon E7-8890 v4,"3.40","2.20","60 MB",
Intel Xeon E7-8891 v3,"3.50","2.80","45 MB Last Level Cache",
Intel Xeon E7-8891 v4,"3.50","2.80","60 MB",
Intel Xeon E7-8893 v4,"3.50","3.20","60 MB",
Intel Xeon E7-8894 v4,"3.40","2.40","60 MB",
Intel Xeon Bronze 3104,"1.70","1.70","8.25 MB L3",
Intel Xeon Bronze 3106,"1.70","1.70","11 MB L3",
Intel Xeon Gold 5115,"3.20","2.40","13.75 MB L3",
Intel Xeon Gold 5118,"3.20","2.30","16.5 MB L3",
Intel Xeon Gold 5119T,"3.20","1.90","19.25 MB L3",
Intel Xeon Gold 5120,"3.20","2.20","19.25 MB L3",
Intel Xeon Gold 5120T,"3.20","2.20","19.25 MB L3",
Intel Xeon Gold 5122,"3.70","3.60","16.5 MB L3",
Intel Xeon Gold 6126,"3.70","2.60","19.25 MB L3",
Intel Xeon Gold 6126F,"3.70","2.60","19.25 MB L3",
Intel Xeon Gold 6126T,"3.70","2.60","19.25 MB L3",
Intel Xeon Gold 6128,"3.70","3.40","19.25 MB L3",
Intel Xeon Gold 6130,"3.70","2.10","22 MB L3",
Intel Xeon Gold 6130T,"3.70","2.10","22 MB L3",
Intel Xeon Gold 6132,"3.70","2.60","19.25 MB L3",
Intel Xeon Gold 6134,"3.70","3.20","24.75 MB L3",
Intel Xeon Gold 6134M,"3.70","3.20","24.75 MB L3",
Intel Xeon Gold 6136,"3.70","3.00","24.75 MB L3",
Intel Xeon Gold 6138,"3.70","2.00","27.5 MB L3",
Intel Xeon Gold 6138F,"3.70","2.00","27.5 MB L3",
Intel Xeon Gold 6138T,"3.70","2.00","27.5 MB L3",
Intel Xeon Gold 6140,"3.70","2.30","24.75 MB L3",
Intel Xeon Gold 6140M,"3.70","2.30","24.75 MB L3",
Intel Xeon Gold 6142,"3.70","2.60","22 MB L3",
Intel Xeon Gold 6142M,"3.70","2.60","22 MB L3",
Intel Xeon Gold 6143,"3.70","2.60","22 MB L3",
Intel Xeon Gold 6144,"4.20","3.50","24.75 MB L3",
Intel Xeon Gold 6146,"4.20","3.20","24.75 MB L3",
Intel Xeon Gold 6148,"3.70","2.40","27.5 MB L3",
Intel Xeon Gold 6148F,"3.70","2.40","27.5 MB L3",
Intel Xeon Gold 6150,"3.70","2.70","24.75 MB L3",
Intel Xeon Gold 6152,"3.70","2.10","30.25 MB L3",
Intel Xeon Gold 6154,"3.70","3.00","24.75 MB L3",
Intel Xeon Platinum 8153,"2.80","2.00","22 MB L3",
Intel Xeon Platinum 8156,"3.70","3.60","16.5 MB L3",
Intel Xeon Platinum 8158,"3.70","3.00","24.75 MB L3",
Intel Xeon Platinum 8160,"3.70","2.10","33 MB L3",
Intel Xeon Platinum 8160F,"3.70","2.10","33 MB L3",
Intel Xeon Platinum 8160M,"3.70","2.10","33 MB L3",
Intel Xeon Platinum 8160T,"3.70","2.10","33 MB L3",
Intel Xeon Platinum 8164,"3.70","2.00","35.75 MB L3",
Intel Xeon Platinum 8168,"3.70","2.70","33 MB L3",
Intel Xeon Platinum 8170,"3.70","2.10","35.75 MB L3",
Intel Xeon Platinum 8170M,"3.70","2.10","35.75 MB L3",
Intel Xeon Platinum 8176,"3.80","2.10","38.5 MB L3",
Intel Xeon Platinum 8176M,"3.80","2.10","38.5 MB L3",
Intel Xeon Platinum 8180,"3.80","2.50","38.5 MB L3",
Intel Xeon Platinum 8180M,"3.80","2.50","38.5 MB L3",
Intel Xeon Silver 4108,"3.00","1.80","11 MB L3",
Intel Xeon Silver 4109T,"3.00","2.00","11 MB L3",
Intel Xeon Silver 4110,"3.00","2.10","11 MB L3",
Intel Xeon Silver 4112,"3.00","2.60","8.25 MB L3",
Intel Xeon Silver 4114,"3.00","2.20","13.75 MB L3",
Intel Xeon Silver 4114T,"3.00","2.20","13.75 MB L3",
Intel Xeon Silver 4116,"3.00","2.10","16.5 MB L3",
Intel Xeon Silver 4116T,"3.00","2.10","16.5 MB L3",
Intel Xeon Phi 7210,"1.30","1.30","16384 MB",
Intel Xeon Phi 7210F,"1.30","1.30","16384 MB",
Intel Xeon Phi 7230,"1.30","1.30","16384 MB",
Intel Xeon Phi 7230F,"1.30","1.30","16384 MB",
Intel Xeon Phi 7250,"1.40","1.40","16384 MB",
Intel Xeon Phi 7250F,"1.40","1.40","16384 MB",
Intel Xeon Phi 7290,"1.50","1.50","16384 MB",
Intel Xeon Phi 7290F,"1.50","1.50","16384 MB",
SPARC M12-1,"3.20","3.20","16 MB",
SPARC M12-2,"3.90","3.90","32 MB",
SPARC M12-2S,"4.35","4.25","32 MB",
